Gene stable ID,Gene stable ID version,Gene name,Human gene stable ID,Human gene name
ENSCGRG00001006247,ENSCGRG00001006247.1,,,
ENSCGRG00001006248,ENSCGRG00001006248.1,,,
ENSCGRG00001006249,ENSCGRG00001006249.1,U6,,
ENSCGRG00001006250,ENSCGRG00001006250.1,,ENSG00000183303,OR5P2
ENSCGRG00001006251,ENSCGRG00001006251.1,,ENSG00000160201,U2AF1
ENSCGRG00001006252,ENSCGRG00001006252.1,,,
ENSCGRG00001006253,ENSCGRG00001006253.1,,,
ENSCGRG00001006254,ENSCGRG00001006254.1,U1,,
ENSCGRG00001006255,ENSCGRG00001006255.1,Pdyn,ENSG00000101327,PDYN
ENSCGRG00001006256,ENSCGRG00001006256.1,Metazoa_SRP,,
ENSCGRG00001006257,ENSCGRG00001006257.1,U6,ENSG00000212521,RNU6-918P
ENSCGRG00001006258,ENSCGRG00001006258.1,Wee2,ENSG00000214102,WEE2
ENSCGRG00001006259,ENSCGRG00001006259.1,U6,ENSG00000199767,RNU6-78P
ENSCGRG00001006260,ENSCGRG00001006260.1,Smim18,ENSG00000253457,SMIM18
ENSCGRG00001006261,ENSCGRG00001006261.1,,,
ENSCGRG00001006262,ENSCGRG00001006262.1,,,
ENSCGRG00001006263,ENSCGRG00001006263.1,Sufu,ENSG00000107882,SUFU
ENSCGRG00001006264,ENSCGRG00001006264.1,U6,,
ENSCGRG00001006265,ENSCGRG00001006265.1,,,
ENSCGRG00001006266,ENSCGRG00001006266.1,Serpinb13,ENSG00000197641,SERPINB13
ENSCGRG00001006267,ENSCGRG00001006267.1,Ctsc,ENSG00000109861,CTSC
ENSCGRG00001006268,ENSCGRG00001006268.1,Cldn8,ENSG00000156284,CLDN8
ENSCGRG00001006269,ENSCGRG00001006269.1,,,
ENSCGRG00001006270,ENSCGRG00001006270.1,Nsun5,ENSG00000130305,NSUN5
ENSCGRG00001006271,ENSCGRG00001006271.1,U1,,
ENSCGRG00001006272,ENSCGRG00001006272.1,,,
ENSCGRG00001006273,ENSCGRG00001006273.1,,ENSG00000188215,DCUN1D3
ENSCGRG00001006274,ENSCGRG00001006274.1,Myo9b,ENSG00000099331,MYO9B
ENSCGRG00001006275,ENSCGRG00001006275.1,Plagl2,ENSG00000126003,PLAGL2
ENSCGRG00001006276,ENSCGRG00001006276.1,Foxd4,ENSG00000184492,FOXD4L1
ENSCGRG00001006276,ENSCGRG00001006276.1,Foxd4,ENSG00000187559,FOXD4L3
ENSCGRG00001006276,ENSCGRG00001006276.1,Foxd4,ENSG00000273514,FOXD4L6
ENSCGRG00001006276,ENSCGRG00001006276.1,Foxd4,ENSG00000170122,FOXD4
ENSCGRG00001006276,ENSCGRG00001006276.1,Foxd4,ENSG00000204779,FOXD4L5
ENSCGRG00001006276,ENSCGRG00001006276.1,Foxd4,ENSG00000184659,FOXD4L4
ENSCGRG00001006277,ENSCGRG00001006277.1,,,
ENSCGRG00001006278,ENSCGRG00001006278.1,,,
ENSCGRG00001006279,ENSCGRG00001006279.1,U6,ENSG00000252562,RNU6-922P
ENSCGRG00001006280,ENSCGRG00001006280.1,7SK,,
ENSCGRG00001006281,ENSCGRG00001006281.1,,ENSG00000092020,PPP2R3C
ENSCGRG00001006282,ENSCGRG00001006282.1,Metazoa_SRP,,
ENSCGRG00001006283,ENSCGRG00001006283.1,Txndc15,ENSG00000113621,TXNDC15
ENSCGRG00001006284,ENSCGRG00001006284.1,U6,ENSG00000239075,RNU6-274P
ENSCGRG00001006285,ENSCGRG00001006285.1,,,
ENSCGRG00001006286,ENSCGRG00001006286.1,Nod1,ENSG00000106100,NOD1
ENSCGRG00001006287,ENSCGRG00001006287.1,Stxbp5,ENSG00000164506,STXBP5
ENSCGRG00001006288,ENSCGRG00001006288.1,U1,,
ENSCGRG00001006289,ENSCGRG00001006289.1,,,
ENSCGRG00001006290,ENSCGRG00001006290.1,Olfr215,,
ENSCGRG00001006291,ENSCGRG00001006291.1,Gsc,ENSG00000133937,GSC
ENSCGRG00001006292,ENSCGRG00001006292.1,Cysrt1,ENSG00000197191,CYSRT1
ENSCGRG00001006293,ENSCGRG00001006293.1,,ENSG00000112782,CLIC5
ENSCGRG00001006294,ENSCGRG00001006294.1,,,
ENSCGRG00001006295,ENSCGRG00001006295.1,7SK,,
ENSCGRG00001006296,ENSCGRG00001006296.1,Tsen34,ENSG00000170892,TSEN34
ENSCGRG00001006297,ENSCGRG00001006297.1,,,
ENSCGRG00001006298,ENSCGRG00001006298.1,Metazoa_SRP,ENSG00000244512,RN7SL28P
ENSCGRG00001006299,ENSCGRG00001006299.1,Zswim6,ENSG00000130449,ZSWIM6
ENSCGRG00001006300,ENSCGRG00001006300.1,U6,ENSG00000223280,RNU6-57P
ENSCGRG00001006301,ENSCGRG00001006301.1,U6,,
ENSCGRG00001006302,ENSCGRG00001006302.1,,,
ENSCGRG00001006303,ENSCGRG00001006303.1,Golga5,ENSG00000066455,GOLGA5
ENSCGRG00001006304,ENSCGRG00001006304.1,,ENSG00000212900,KRTAP3-2
ENSCGRG00001006304,ENSCGRG00001006304.1,,ENSG00000212899,KRTAP3-3
ENSCGRG00001006305,ENSCGRG00001006305.1,U1,,
ENSCGRG00001006306,ENSCGRG00001006306.1,,,
ENSCGRG00001006307,ENSCGRG00001006307.1,Mgat4c,ENSG00000182050,MGAT4C
ENSCGRG00001006308,ENSCGRG00001006308.1,Lce6a,,
ENSCGRG00001006309,ENSCGRG00001006309.1,,,
ENSCGRG00001006310,ENSCGRG00001006310.1,7SK,,
ENSCGRG00001006311,ENSCGRG00001006311.1,U6,ENSG00000206819,RNU6-260P
ENSCGRG00001006312,ENSCGRG00001006312.1,,,
ENSCGRG00001006313,ENSCGRG00001006313.1,Cstl1,ENSG00000125823,CSTL1
ENSCGRG00001006314,ENSCGRG00001006314.1,Metazoa_SRP,,
ENSCGRG00001006315,ENSCGRG00001006315.1,,,
ENSCGRG00001006316,ENSCGRG00001006316.1,Olfr1256,ENSG00000237388,OR4A47
ENSCGRG00001006317,ENSCGRG00001006317.1,U6,ENSG00000200107,RNU6-1249P
ENSCGRG00001006318,ENSCGRG00001006318.1,,,
ENSCGRG00001006319,ENSCGRG00001006319.1,Dnm3,ENSG00000197959,DNM3
ENSCGRG00001006320,ENSCGRG00001006320.1,,,
ENSCGRG00001006321,ENSCGRG00001006321.1,Tnfsf10,ENSG00000121858,TNFSF10
ENSCGRG00001006322,ENSCGRG00001006322.1,Usp34,ENSG00000115464,USP34
ENSCGRG00001006323,ENSCGRG00001006323.1,Scnm1,ENSG00000163156,SCNM1
ENSCGRG00001006324,ENSCGRG00001006324.1,Usp14,ENSG00000101557,USP14
ENSCGRG00001006325,ENSCGRG00001006325.1,,ENSG00000164011,ZNF691
ENSCGRG00001006326,ENSCGRG00001006326.1,,,
ENSCGRG00001006327,ENSCGRG00001006327.1,Ubxn1,ENSG00000162191,UBXN1
ENSCGRG00001006328,ENSCGRG00001006328.1,Snx15,ENSG00000110025,SNX15
ENSCGRG00001006329,ENSCGRG00001006329.1,U6,ENSG00000206604,RNU6-425P
ENSCGRG00001006330,ENSCGRG00001006330.1,Traf3ip1,ENSG00000204104,TRAF3IP1
ENSCGRG00001006331,ENSCGRG00001006331.1,U1,,
ENSCGRG00001006332,ENSCGRG00001006332.1,Plxna2,ENSG00000076356,PLXNA2
ENSCGRG00001006333,ENSCGRG00001006333.1,Trmt10b,ENSG00000165275,TRMT10B
ENSCGRG00001006334,ENSCGRG00001006334.1,,,
ENSCGRG00001006335,ENSCGRG00001006335.1,S1pr3,ENSG00000213694,S1PR3
ENSCGRG00001006336,ENSCGRG00001006336.1,Smg5,ENSG00000198952,SMG5
ENSCGRG00001006337,ENSCGRG00001006337.1,Metazoa_SRP,ENSG00000240474,RN7SL116P
ENSCGRG00001006337,ENSCGRG00001006337.1,Metazoa_SRP,ENSG00000239437,RN7SL752P
ENSCGRG00001006338,ENSCGRG00001006338.1,,ENSG00000177409,SAMD9L
ENSCGRG00001006339,ENSCGRG00001006339.1,,ENSG00000132341,RAN
ENSCGRG00001006340,ENSCGRG00001006340.1,Rhov,ENSG00000104140,RHOV
ENSCGRG00001006341,ENSCGRG00001006341.1,Myf6,ENSG00000111046,MYF6
ENSCGRG00001006342,ENSCGRG00001006342.1,Olfr1006,ENSG00000172457,OR9G4
ENSCGRG00001006343,ENSCGRG00001006343.1,,,
ENSCGRG00001006344,ENSCGRG00001006344.1,U6,,
ENSCGRG00001006345,ENSCGRG00001006345.1,Syce1,ENSG00000171772,SYCE1
ENSCGRG00001006346,ENSCGRG00001006346.1,,,
ENSCGRG00001006347,ENSCGRG00001006347.1,U1,,
ENSCGRG00001006348,ENSCGRG00001006348.1,Smad2,ENSG00000175387,SMAD2
ENSCGRG00001006349,ENSCGRG00001006349.1,Metazoa_SRP,ENSG00000240626,RN7SL150P
ENSCGRG00001006350,ENSCGRG00001006350.1,,,
ENSCGRG00001006351,ENSCGRG00001006351.1,,,
ENSCGRG00001006352,ENSCGRG00001006352.1,U6,,
ENSCGRG00001006353,ENSCGRG00001006353.1,7SK,,
ENSCGRG00001006354,ENSCGRG00001006354.1,Strbp,ENSG00000165209,STRBP
ENSCGRG00001006355,ENSCGRG00001006355.1,Jade3,ENSG00000102221,JADE3
ENSCGRG00001006356,ENSCGRG00001006356.1,,,
ENSCGRG00001006357,ENSCGRG00001006357.1,Dcaf11,ENSG00000100897,DCAF11
ENSCGRG00001006358,ENSCGRG00001006358.1,,,
ENSCGRG00001006359,ENSCGRG00001006359.1,Slc6a3,ENSG00000142319,SLC6A3
ENSCGRG00001006360,ENSCGRG00001006360.1,,,
ENSCGRG00001006361,ENSCGRG00001006361.1,Osbpl10,ENSG00000144645,OSBPL10
ENSCGRG00001006362,ENSCGRG00001006362.1,U6,,
ENSCGRG00001006363,ENSCGRG00001006363.1,Prpsap2,ENSG00000141127,PRPSAP2
ENSCGRG00001006364,ENSCGRG00001006364.1,,ENSG00000283787,PRR33
ENSCGRG00001006365,ENSCGRG00001006365.1,,,
ENSCGRG00001006366,ENSCGRG00001006366.1,,ENSG00000196576,PLXNB2
ENSCGRG00001006367,ENSCGRG00001006367.1,,,
ENSCGRG00001006368,ENSCGRG00001006368.1,Trpc6,ENSG00000137672,TRPC6
ENSCGRG00001006369,ENSCGRG00001006369.1,U1,,
ENSCGRG00001006370,ENSCGRG00001006370.1,7SK,,
ENSCGRG00001006371,ENSCGRG00001006371.1,7SK,,
ENSCGRG00001006372,ENSCGRG00001006372.1,Phospho2,ENSG00000144362,PHOSPHO2
ENSCGRG00001006373,ENSCGRG00001006373.1,U6,,
ENSCGRG00001006374,ENSCGRG00001006374.1,,,
ENSCGRG00001006375,ENSCGRG00001006375.1,,,
ENSCGRG00001006376,ENSCGRG00001006376.1,Cd160,ENSG00000117281,CD160
ENSCGRG00001006377,ENSCGRG00001006377.1,,,
ENSCGRG00001006378,ENSCGRG00001006378.1,U6,ENSG00000223191,RNU6-293P
ENSCGRG00001006379,ENSCGRG00001006379.1,,,
ENSCGRG00001006380,ENSCGRG00001006380.1,,ENSG00000130717,UCK1
ENSCGRG00001006381,ENSCGRG00001006381.1,7SK,ENSG00000222664,RN7SKP123
ENSCGRG00001006381,ENSCGRG00001006381.1,7SK,ENSG00000222386,RN7SKP86
ENSCGRG00001006381,ENSCGRG00001006381.1,7SK,ENSG00000201581,RN7SKP78
ENSCGRG00001006382,ENSCGRG00001006382.1,Olfr51,,
ENSCGRG00001006383,ENSCGRG00001006383.1,Caprin1,ENSG00000135387,CAPRIN1
ENSCGRG00001006384,ENSCGRG00001006384.1,Sypl2,ENSG00000143028,SYPL2
ENSCGRG00001006385,ENSCGRG00001006385.1,U1,ENSG00000252135,RNU1-155P
ENSCGRG00001006385,ENSCGRG00001006385.1,U1,ENSG00000252826,RNVU1-23
ENSCGRG00001006386,ENSCGRG00001006386.1,7SK,ENSG00000252711,RN7SKP116
ENSCGRG00001006387,ENSCGRG00001006387.1,U6,,
ENSCGRG00001006388,ENSCGRG00001006388.1,,,
ENSCGRG00001006389,ENSCGRG00001006389.1,,,
ENSCGRG00001006390,ENSCGRG00001006390.1,,,
ENSCGRG00001006391,ENSCGRG00001006391.1,U6,ENSG00000223191,RNU6-293P
ENSCGRG00001006392,ENSCGRG00001006392.1,Olfr820,,
ENSCGRG00001006393,ENSCGRG00001006393.1,,ENSG00000172188,OR4C11
ENSCGRG00001006394,ENSCGRG00001006394.1,5730480H06Rik,ENSG00000163138,PACRGL
ENSCGRG00001006395,ENSCGRG00001006395.1,,,
ENSCGRG00001006396,ENSCGRG00001006396.1,Tlcd3a,ENSG00000167695,TLCD3A
ENSCGRG00001006397,ENSCGRG00001006397.1,,,
ENSCGRG00001006398,ENSCGRG00001006398.1,7SK,,
ENSCGRG00001006399,ENSCGRG00001006399.1,U1,,
ENSCGRG00001006400,ENSCGRG00001006400.1,,ENSG00000069509,FUNDC1
ENSCGRG00001006401,ENSCGRG00001006401.1,,,
ENSCGRG00001006402,ENSCGRG00001006402.1,7SK,,
ENSCGRG00001006403,ENSCGRG00001006403.1,U6,,
ENSCGRG00001006404,ENSCGRG00001006404.1,1700020L24Rik,ENSG00000270806,C17orf50
ENSCGRG00001006405,ENSCGRG00001006405.1,,ENSG00000221038,RNU6ATAC7P
ENSCGRG00001006406,ENSCGRG00001006406.1,Sycp3,ENSG00000139351,SYCP3
ENSCGRG00001006407,ENSCGRG00001006407.1,U6,,
ENSCGRG00001006408,ENSCGRG00001006408.1,,,
ENSCGRG00001006409,ENSCGRG00001006409.1,,,
ENSCGRG00001006410,ENSCGRG00001006410.1,Hemgn,ENSG00000136929,HEMGN
ENSCGRG00001006411,ENSCGRG00001006411.1,Slc35d3,ENSG00000182747,SLC35D3
ENSCGRG00001006412,ENSCGRG00001006412.1,7SK,,
ENSCGRG00001006413,ENSCGRG00001006413.1,Timm8a1,ENSG00000126953,TIMM8A
ENSCGRG00001006414,ENSCGRG00001006414.1,Adgrf3,ENSG00000173567,ADGRF3
ENSCGRG00001006415,ENSCGRG00001006415.1,U1,,
ENSCGRG00001006416,ENSCGRG00001006416.1,,,
ENSCGRG00001006417,ENSCGRG00001006417.1,,ENSG00000255223,OR5M11
ENSCGRG00001006418,ENSCGRG00001006418.1,7SK,,
ENSCGRG00001006419,ENSCGRG00001006419.1,2310079G19Rik,,
ENSCGRG00001006420,ENSCGRG00001006420.1,,,
ENSCGRG00001006421,ENSCGRG00001006421.1,U6,ENSG00000252988,RNU6-111P
ENSCGRG00001006422,ENSCGRG00001006422.1,Gtpbp2,ENSG00000172432,GTPBP2
ENSCGRG00001006423,ENSCGRG00001006423.1,Sox14,ENSG00000168875,SOX14
ENSCGRG00001006424,ENSCGRG00001006424.1,Pvrig,ENSG00000213413,PVRIG
ENSCGRG00001006425,ENSCGRG00001006425.1,Hmgn1,,
ENSCGRG00001006426,ENSCGRG00001006426.1,U6,ENSG00000206889,RNU6-1200P
ENSCGRG00001006427,ENSCGRG00001006427.1,Ramp2,ENSG00000131477,RAMP2
ENSCGRG00001006428,ENSCGRG00001006428.1,,,
ENSCGRG00001006429,ENSCGRG00001006429.1,,,
ENSCGRG00001006430,ENSCGRG00001006430.1,Setd5,ENSG00000168137,SETD5
ENSCGRG00001006431,ENSCGRG00001006431.1,Epn2,ENSG00000072134,EPN2
ENSCGRG00001006432,ENSCGRG00001006432.1,7SK,ENSG00000222174,RN7SKP146
ENSCGRG00001006432,ENSCGRG00001006432.1,7SK,ENSG00000223223,RN7SKP192
ENSCGRG00001006433,ENSCGRG00001006433.1,U1,,
ENSCGRG00001006434,ENSCGRG00001006434.1,,,
ENSCGRG00001006435,ENSCGRG00001006435.1,7SK,,
ENSCGRG00001006436,ENSCGRG00001006436.1,Kcnk9,ENSG00000169427,KCNK9
ENSCGRG00001006437,ENSCGRG00001006437.1,U6,ENSG00000252626,RNU6-1308P
ENSCGRG00001006437,ENSCGRG00001006437.1,U6,ENSG00000207214,RNU6-102P
ENSCGRG00001006437,ENSCGRG00001006437.1,U6,ENSG00000252523,RNU6-267P
ENSCGRG00001006437,ENSCGRG00001006437.1,U6,ENSG00000252037,RNU6-162P
ENSCGRG00001006438,ENSCGRG00001006438.1,Stk26,ENSG00000134602,STK26
ENSCGRG00001006439,ENSCGRG00001006439.1,U6,,
ENSCGRG00001006440,ENSCGRG00001006440.1,Rab14,ENSG00000119396,RAB14
ENSCGRG00001006441,ENSCGRG00001006441.1,MFT,ENSG00000164933,SLC25A32
ENSCGRG00001006442,ENSCGRG00001006442.1,Olfr56,,
ENSCGRG00001006443,ENSCGRG00001006443.1,Nr4a3,ENSG00000119508,NR4A3
ENSCGRG00001006444,ENSCGRG00001006444.1,,,
ENSCGRG00001006445,ENSCGRG00001006445.1,,,
ENSCGRG00001006446,ENSCGRG00001006446.1,,,
ENSCGRG00001006447,ENSCGRG00001006447.1,Prpf40b,ENSG00000110844,PRPF40B
ENSCGRG00001006448,ENSCGRG00001006448.1,Rasd2,ENSG00000100302,RASD2
ENSCGRG00001006449,ENSCGRG00001006449.1,U1,,
ENSCGRG00001006450,ENSCGRG00001006450.1,7SK,,
ENSCGRG00001006451,ENSCGRG00001006451.1,,,
ENSCGRG00001006452,ENSCGRG00001006452.1,7SK,ENSG00000252292,RN7SKP238
ENSCGRG00001006453,ENSCGRG00001006453.1,Fbxw5,ENSG00000159069,FBXW5
ENSCGRG00001006454,ENSCGRG00001006454.1,,,
ENSCGRG00001006455,ENSCGRG00001006455.1,U6,,
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000188155,KRTAP10-6
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000221837,KRTAP10-9
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000198271,KRTAP4-5
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000244537,KRTAP4-2
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000198443,KRTAP4-1
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000212725,KRTAP2-1
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000212724,KRTAP2-3
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000214518,KRTAP2-2
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000213417,KRTAP2-4
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000239886,KRTAP9-2
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000212659,KRTAP9-6
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000204873,KRTAP9-3
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000198083,KRTAP9-9
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000187272,KRTAP9-8
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000180386,KRTAP9-7
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000241595,KRTAP9-4
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000243489,KRTAP10-11
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000215454,KRTAP10-4
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000212721,KRTAP4-11
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000204880,KRTAP4-8
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000212722,KRTAP4-9
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000241241,KRTAP4-16
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000171396,KRTAP4-4
ENSCGRG00001006456,ENSCGRG00001006456.1,,ENSG00000240542,KRTAP9-1
ENSCGRG00001006457,ENSCGRG00001006457.1,U6,,
ENSCGRG00001006458,ENSCGRG00001006458.1,Pdcd11,ENSG00000148843,PDCD11
ENSCGRG00001006459,ENSCGRG00001006459.1,Sgip1,ENSG00000118473,SGIP1
ENSCGRG00001006460,ENSCGRG00001006460.1,,,
ENSCGRG00001006461,ENSCGRG00001006461.1,,,
ENSCGRG00001006462,ENSCGRG00001006462.1,,,
ENSCGRG00001006463,ENSCGRG00001006463.1,Siah1b,ENSG00000196470,SIAH1
ENSCGRG00001006464,ENSCGRG00001006464.1,,,
ENSCGRG00001006465,ENSCGRG00001006465.1,Smg8,ENSG00000167447,SMG8
ENSCGRG00001006466,ENSCGRG00001006466.1,U1,,
ENSCGRG00001006467,ENSCGRG00001006467.1,,ENSG00000108298,RPL19
ENSCGRG00001006468,ENSCGRG00001006468.1,7SK,ENSG00000200472,RN7SKP44
ENSCGRG00001006469,ENSCGRG00001006469.1,Prss59,,
ENSCGRG00001006470,ENSCGRG00001006470.1,7SK,,
ENSCGRG00001006471,ENSCGRG00001006471.1,U6,ENSG00000202245,RNU6-728P
ENSCGRG00001006472,ENSCGRG00001006472.1,U6,ENSG00000206658,RNU6-1039P
ENSCGRG00001006472,ENSCGRG00001006472.1,U6,ENSG00000207183,RNU6-843P
ENSCGRG00001006473,ENSCGRG00001006473.1,,,
ENSCGRG00001006474,ENSCGRG00001006474.1,Mgat4b,ENSG00000161013,MGAT4B
ENSCGRG00001006475,ENSCGRG00001006475.1,Dlg5,ENSG00000151208,DLG5
ENSCGRG00001006476,ENSCGRG00001006476.1,0610009B22Rik,,
ENSCGRG00001006477,ENSCGRG00001006477.1,U1,,
ENSCGRG00001006478,ENSCGRG00001006478.1,Olfr1019,ENSG00000172459,OR5AR1
ENSCGRG00001006479,ENSCGRG00001006479.1,,ENSG00000256574,OR13A1
ENSCGRG00001006480,ENSCGRG00001006480.1,7SK,,
ENSCGRG00001006481,ENSCGRG00001006481.1,,,
ENSCGRG00001006482,ENSCGRG00001006482.1,,,
ENSCGRG00001006483,ENSCGRG00001006483.1,7SK,ENSG00000201612,RN7SKP15
ENSCGRG00001006484,ENSCGRG00001006484.1,Olfr1452-ps1,ENSG00000172769,OR5B3
ENSCGRG00001006485,ENSCGRG00001006485.1,U6,,
ENSCGRG00001006486,ENSCGRG00001006486.1,,,
ENSCGRG00001006487,ENSCGRG00001006487.1,Zdhhc1,ENSG00000159714,ZDHHC1
ENSCGRG00001006488,ENSCGRG00001006488.1,Olfr517,ENSG00000170683,OR10A3
ENSCGRG00001006489,ENSCGRG00001006489.1,Tuba8,ENSG00000183785,TUBA8
ENSCGRG00001006490,ENSCGRG00001006490.1,U6,,
ENSCGRG00001006491,ENSCGRG00001006491.1,U1,ENSG00000206687,RNU1-109P
ENSCGRG00001006492,ENSCGRG00001006492.1,Mmp13,ENSG00000137745,MMP13
ENSCGRG00001006493,ENSCGRG00001006493.1,7SK,,
ENSCGRG00001006494,ENSCGRG00001006494.1,,,
ENSCGRG00001006495,ENSCGRG00001006495.1,,,
ENSCGRG00001006496,ENSCGRG00001006496.1,Vmp1,ENSG00000062716,VMP1
ENSCGRG00001006497,ENSCGRG00001006497.1,7SK,ENSG00000222078,RN7SKP110
ENSCGRG00001006498,ENSCGRG00001006498.1,,,
ENSCGRG00001006499,ENSCGRG00001006499.1,U6,,
ENSCGRG00001006500,ENSCGRG00001006500.1,,ENSG00000181767,OR8H2
ENSCGRG00001006500,ENSCGRG00001006500.1,,ENSG00000181761,OR8H3
ENSCGRG00001006500,ENSCGRG00001006500.1,,ENSG00000181693,OR8H1
ENSCGRG00001006501,ENSCGRG00001006501.1,Gja10,ENSG00000135355,GJA10
ENSCGRG00001006502,ENSCGRG00001006502.1,Lmnb2,ENSG00000176619,LMNB2
ENSCGRG00001006503,ENSCGRG00001006503.1,Pak1ip1,ENSG00000111845,PAK1IP1
ENSCGRG00001006504,ENSCGRG00001006504.1,Acsf2,ENSG00000167107,ACSF2
ENSCGRG00001006505,ENSCGRG00001006505.1,Laptm4b,ENSG00000104341,LAPTM4B
ENSCGRG00001006506,ENSCGRG00001006506.1,7SK,,
ENSCGRG00001006507,ENSCGRG00001006507.1,,ENSG00000106049,HIBADH
ENSCGRG00001006508,ENSCGRG00001006508.1,,,
ENSCGRG00001006509,ENSCGRG00001006509.1,Cdh24,ENSG00000139880,CDH24
ENSCGRG00001006510,ENSCGRG00001006510.1,Msh6,ENSG00000116062,MSH6
ENSCGRG00001006511,ENSCGRG00001006511.1,,,
ENSCGRG00001006512,ENSCGRG00001006512.1,U1,,
ENSCGRG00001006513,ENSCGRG00001006513.1,Ano7,ENSG00000146205,ANO7
ENSCGRG00001006514,ENSCGRG00001006514.1,7SK,ENSG00000202058,RN7SKP80
ENSCGRG00001006515,ENSCGRG00001006515.1,,,
ENSCGRG00001006516,ENSCGRG00001006516.1,,,
ENSCGRG00001006517,ENSCGRG00001006517.1,Ppp1r1b,ENSG00000131771,PPP1R1B
ENSCGRG00001006518,ENSCGRG00001006518.1,U6,,
ENSCGRG00001006519,ENSCGRG00001006519.1,,,
ENSCGRG00001006520,ENSCGRG00001006520.1,Zmym5,ENSG00000132950,ZMYM5
ENSCGRG00001006521,ENSCGRG00001006521.1,Rnh1,ENSG00000023191,RNH1
ENSCGRG00001006522,ENSCGRG00001006522.1,Stau2,ENSG00000040341,STAU2
ENSCGRG00001006523,ENSCGRG00001006523.1,7SK,,
ENSCGRG00001006524,ENSCGRG00001006524.1,,,
ENSCGRG00001006525,ENSCGRG00001006525.1,Olig3,ENSG00000177468,OLIG3
ENSCGRG00001006526,ENSCGRG00001006526.1,,ENSG00000221527,RNU6ATAC41P
ENSCGRG00001006527,ENSCGRG00001006527.1,Tnfrsf21,ENSG00000146072,TNFRSF21
ENSCGRG00001006528,ENSCGRG00001006528.1,U1,,
ENSCGRG00001006529,ENSCGRG00001006529.1,,ENSG00000133703,KRAS
ENSCGRG00001006530,ENSCGRG00001006530.1,Slc36a1,ENSG00000123643,SLC36A1
ENSCGRG00001006531,ENSCGRG00001006531.1,7SK,ENSG00000201287,RN7SKP171
ENSCGRG00001006532,ENSCGRG00001006532.1,,,
ENSCGRG00001006533,ENSCGRG00001006533.1,Lbp,ENSG00000129988,LBP
ENSCGRG00001006534,ENSCGRG00001006534.1,,,
ENSCGRG00001006535,ENSCGRG00001006535.1,U6,,
ENSCGRG00001006536,ENSCGRG00001006536.1,Catsper4,ENSG00000188782,CATSPER4
ENSCGRG00001006537,ENSCGRG00001006537.1,Cbfa2t3,ENSG00000129993,CBFA2T3
ENSCGRG00001006538,ENSCGRG00001006538.1,7SK,,
ENSCGRG00001006539,ENSCGRG00001006539.1,Olfr1427,,
ENSCGRG00001006540,ENSCGRG00001006540.1,,ENSG00000221387,RNU6ATAC8P
ENSCGRG00001006541,ENSCGRG00001006541.1,U1,,
ENSCGRG00001006542,ENSCGRG00001006542.1,Map3k7,ENSG00000135341,MAP3K7
ENSCGRG00001006543,ENSCGRG00001006543.1,,,
ENSCGRG00001006544,ENSCGRG00001006544.1,,ENSG00000102409,BEX4
ENSCGRG00001006545,ENSCGRG00001006545.1,Cdc16,ENSG00000130177,CDC16
ENSCGRG00001006546,ENSCGRG00001006546.1,,,
ENSCGRG00001006547,ENSCGRG00001006547.1,,ENSG00000263764,SNORD43
ENSCGRG00001006548,ENSCGRG00001006548.1,,,
ENSCGRG00001006549,ENSCGRG00001006549.1,U6,,
ENSCGRG00001006550,ENSCGRG00001006550.1,Git2,ENSG00000139436,GIT2
ENSCGRG00001006551,ENSCGRG00001006551.1,U6,ENSG00000212469,RNU6-1158P
ENSCGRG00001006552,ENSCGRG00001006552.1,7SK,,
ENSCGRG00001006553,ENSCGRG00001006553.1,1700020N01Rik,,
ENSCGRG00001006554,ENSCGRG00001006554.1,Fhl4,ENSG00000022267,FHL1
ENSCGRG00001006555,ENSCGRG00001006555.1,U1,,
ENSCGRG00001006556,ENSCGRG00001006556.1,,,
ENSCGRG00001006557,ENSCGRG00001006557.1,,,
