reaction	minimum	maximum
CLS: cdpdag_cho_c + pglyc_cho_c <=> clpn_cho_c + cmp_c + h_c	[1000.]	[-5.37067906e-15]
MLCLAT: Rtotalcoa_c + mlclpn_cho_c --> clpn_cho_c + coa_c	[1000.]	[0.]
PLA2_7: clpn_cho_c + h2o_c --> Rtotal2_c + h_c + mlclpn_cho_c	[1000.]	[0.]
CLPNH: clpn_cho_c + h2o_c --> h_c + pa_cho_c + pglyc_cho_c	[1000.]	[0.]
r0668: HC01115_c + ctp_c <=> HC01162_c + ppi_c	[1000.]	[0.]
r0610: HC00664_c + ctp_c --> HC01180_c + cdp_c + h_c	[0.]	[0.]
CTPtn: ctp_c <=> ctp_n	[0.]	[0.]
r0671: 4ppan_c + ctp_c + cys_L_c --> 4ppcys_c + cmp_c + h_c + ppi_c	[1000.]	[-1.0506253e-11]
EPCTX: 2ameph_c + ctp_c + h_c --> cmp2amep_c + ppi_c	[1000.]	[0.]
CPCTDTX: ctp_c + h_c + ntm2amep_c --> cmpntm2amep_c + ppi_c	[0.]	[0.]
CHLPCTD: cholp_c + ctp_c + h_c --> cdpchol_c + ppi_c	[0.]	[0.]
CTPtm: ctp_c <=> ctp_m	[1000.]	[0.]
r0153: cdp_c + h_c + pep_c --> ctp_c + pyr_c	[1000.]	[-1000.]
RBT5PCYTr: ctp_c + rbt5p_c --> cdprbtl_c + ppi_c	[1000.]	[0.]
TAGP1PT1: ctp_c + tagf6p_c --> cdp_c + h_c + tagfdp_c	[0.]	[0.]
CDS: ctp_c + h_c + pa_cho_c --> cdpdag_cho_c + ppi_c	[0.]	[0.]
CTPCNCT: ctp_c + glna_c <=> cmpglna_c + h_c + ppi_c	[1000.]	[0.]
CMPSAS: acnam_c + ctp_c --> cmpacna_c + ppi_c	[0.]	[-1.22312449e-13]
DOLK: ctp_c + dolichol_c --> cdp_c + dolp_c + h_c	[1000.]	[0.]
PETHCT: ctp_c + ethamp_c + h_c --> cdpea_c + ppi_c	[1000.]	[0.]
CYTK5: ctp_c + dcmp_c <=> cdp_c + dcdp_c	[1000.]	[0.]
UMPK2: ctp_c + ump_c <=> cdp_c + udp_c	[1000.]	[-1000.]
CYTK6: cmp_c + ctp_c <=> 2.0 cdp_c	[1000.]	[-1000.]
AMPTASECG: cgly_c + h2o_c --> cys_L_c + gly_c	[1000.]	[-1000.]
r1830: cys_L_c + na1_e + pro_L_e --> cys_L_e + na1_c + pro_L_c	[1000.]	[0.]
CYSSERNaEx: cys_L_e + na1_e + ser_L_c --> cys_L_c + na1_c + ser_L_e	[1000.]	[0.]
CYSTRAH: cystrna_c + h2o_c --> cys_L_c + h_c + trnacys_c	[1000.]	[0.]
CYSTA: akg_c + cys_L_c <=> glu_L_c + mercppyr_c	[1000.]	[0.]
CYSSNAT5tc: cys_L_e + h_c + na1_e <=> cys_L_c + h_e + na1_c	[1000.]	[0.]
CYSDDS: cys_L_c + h2o_c <=> h2s_c + h_c + nh4_c + pyr_c	[1000.]	[-1000.]
r1799: cys_L_e + na1_e + tyr_L_c --> cys_L_c + na1_c + tyr_L_e	[1000.]	[-1000.]
CYSt4: cys_L_e + na1_e --> cys_L_c + na1_c	[1000.]	[0.]
r1589: cys_L_c + ser_L_e <=> cys_L_e + ser_L_c	[1000.]	[0.]
r1956: citr_L_c + cys_L_e + na1_e --> citr_L_e + cys_L_c + na1_c	[1000.]	[-1000.]
r1860: cys_L_c + na1_e + val_L_e --> cys_L_e + na1_c + val_L_c	[1000.]	[0.]
r0568: glucys_c --> 5oxpro_c + cys_L_c	[1000.]	[0.]
r1815: cys_L_c + leu_L_e + na1_e --> cys_L_e + leu_L_c + na1_c	[1000.]	[0.]
r2064: citr_L_e + cys_L_c --> citr_L_c + cys_L_e	[1000.]	[0.]
r1635: cys_L_e + leu_L_c <=> cys_L_c + leu_L_e	[1000.]	[0.]
CYSGLNNaEx: cys_L_e + gln_L_c + na1_e --> cys_L_c + gln_L_e + na1_c	[1000.]	[-1000.]
r1800: cys_L_e + leu_L_c + na1_e --> cys_L_c + leu_L_e + na1_c	[1000.]	[0.]
CYSt7l: cys_L_l --> cys_L_c	[1000.]	[0.]
r0027: 2.0 cys_L_c + nadp_c <=> Lcystin_c + h_c + nadph_c	[0.]	[0.]
CYSO: cys_L_c + o2_c --> 3sala_c + 2.0 h_c	[1000.]	[-1000.]
r1610: cys_L_c + trp_L_e <=> cys_L_e + trp_L_c	[1000.]	[0.]
SERCYSNaEx: cys_L_c + na1_e + ser_L_e --> cys_L_e + na1_c + ser_L_c	[1000.]	[-1000.]
THRCYSNaEx: cys_L_c + na1_e + thr_L_e --> cys_L_e + na1_c + thr_L_c	[1000.]	[0.]
r1600: cys_L_c + met_L_e <=> cys_L_e + met_L_c	[1000.]	[0.]
r1636: cys_L_e + pro_L_c <=> cys_L_c + pro_L_e	[1000.]	[-1000.]
r2032: cys_L_c + orn_e --> cys_L_e + orn_c	[1000.]	[-1000.]
CYSGLTH: Lcystin_c + 2.0 gthrd_c <=> 2.0 cys_L_c + gthox_c	[1000.]	[0.]
r1627: cys_L_c + tyr_L_e <=> cys_L_e + tyr_L_c	[1000.]	[-1000.]
MCLACCYSR: cys_L_c + mercplac_c + nad_c --> h_c + mercplaccys_c + nadh_c	[1000.]	[-1000.]
r1801: cys_L_e + na1_e + pro_L_c --> cys_L_c + na1_c + pro_L_e	[1000.]	[0.]
r0210: HC00250_c + h_c + ser_L_c --> cys_L_c + h2o_c	[1000.]	[0.]
r0193: cys_L_c + h2o_c <=> HC00250_c + h_c + nh4_c + pyr_c	[1000.]	[0.]
r1905: cys_L_c + ile_L_e + na1_e --> cys_L_e + ile_L_c + na1_c	[1000.]	[-1000.]
CYSATB0tc: cl_e + cys_L_e + 2.0 na1_e --> cl_c + cys_L_c + 2.0 na1_c	[1000.]	[0.]
r1952: cys_L_e + lys_L_c + na1_e --> cys_L_c + lys_L_e + na1_c	[1000.]	[0.]
CYSTHRNaEx: cys_L_e + na1_e + thr_L_c --> cys_L_c + na1_c + thr_L_e	[1000.]	[0.]
r1890: cys_L_c + hom_L_e + na1_e --> cys_L_e + hom_L_c + na1_c	[1000.]	[0.]
r1955: cys_L_e + his_L_c + na1_e --> cys_L_c + his_L_e + na1_c	[1000.]	[0.]
CYSGLUexR: cys_L_e + gln_L_c <=> cys_L_c + gln_L_e	[1000.]	[0.]
r2048: cys_L_c + his_L_e --> cys_L_e + his_L_c	[1000.]	[-1000.]
r1803: cys_L_e + na1_e + val_L_c --> cys_L_c + na1_c + val_L_e	[1000.]	[0.]
DOPAOQCYS: cys_L_c + dopaqn_c --> 5cysdopa_c	[1000.]	[0.]
CYSGLYex: cys_L_c + gly_e <=> cys_L_e + gly_c	[0.]	[0.]
r1638: cys_L_e + val_L_c <=> cys_L_c + val_L_e	[1000.]	[-1000.]
r1784: cys_L_c + na1_e + tyr_L_e --> cys_L_e + na1_c + tyr_L_c	[1000.]	[-1000.]
GLNCYSNaEx: cys_L_c + gln_L_e + na1_e --> cys_L_e + gln_L_c + na1_c	[1000.]	[0.]
r1679: cys_L_c + gly_e + na1_e --> cys_L_e + gly_c + na1_c	[1000.]	[0.]
r1806: cys_L_e + ile_L_c + na1_e --> cys_L_c + ile_L_e + na1_c	[1000.]	[0.]
r2000: cys_L_c + lys_L_e --> cys_L_e + lys_L_c	[1000.]	[0.]
r1640: cys_L_e + hom_L_c <=> cys_L_c + hom_L_e	[1000.]	[0.]
r1769: cys_L_c + na1_e + phe_L_e --> cys_L_e + na1_c + phe_L_c	[1000.]	[-1000.]
r1792: cys_L_e + gly_c + na1_e --> cys_L_c + gly_e + na1_c	[1000.]	[0.]
r1798: cys_L_e + na1_e + phe_L_c --> cys_L_c + na1_c + phe_L_e	[1000.]	[0.]
r1754: cys_L_c + na1_e + trp_L_e --> cys_L_e + na1_c + trp_L_c	[1000.]	[0.]
r1797: cys_L_e + na1_e + trp_L_c --> cys_L_c + na1_c + trp_L_e	[1000.]	[0.]
CYSPHELAT2tc: cys_L_e + phe_L_c <=> cys_L_c + phe_L_e	[1000.]	[0.]
CYSTGL: cyst_L_c + h2o_c --> 2obut_c + cys_L_c + nh4_c	[1000.]	[-1000.]
r1437: cys_L_c --> cys_L_m	[1000.]	[0.]
r1805: cys_L_e + hom_L_c + na1_e --> cys_L_c + hom_L_e + na1_c	[0.]	[0.]
r1639: cys_L_e + thr_L_c <=> cys_L_c + thr_L_e	[1000.]	[0.]
r1739: cys_L_c + met_L_e + na1_e --> cys_L_e + met_L_c + na1_c	[1000.]	[-1000.]
r1796: cys_L_e + met_L_c + na1_e --> cys_L_c + met_L_e + na1_c	[1000.]	[0.]
CYSBS: h2s_c + h_c + ser_L_c --> cys_L_c + h2o_c	[1000.]	[0.]
CYStec: cys_L_e <=> cys_L_c	[1000.]	[0.]
r1641: cys_L_e + ile_L_c <=> cys_L_c + ile_L_e	[1000.]	[-1000.]
SFCYSc: cys_L_c + h_c + so3_c <=> slfcys_c	[1000.]	[-1000.]
r1954: cys_L_e + na1_e + orn_c --> cys_L_c + na1_c + orn_e	[1000.]	[-1000.]
r0364: datp_c + gam_c --> dadp_c + gam6p_c + h_c	[1000.]	[0.]
r0361: datp_c + man_c --> dadp_c + h_c + man6p_c	[1000.]	[0.]
DNDPt6m: datp_c + dgdp_m --> datp_m + dgdp_c	[1000.]	[0.]
UMPK5: datp_c + ump_c <=> dadp_c + udp_c	[1000.]	[0.]
CYTK13: datp_c + dcmp_c <=> dadp_c + dcdp_c	[1000.]	[-1000.]
CYTK8: cmp_c + datp_c <=> cdp_c + dadp_c	[1000.]	[-1000.]
DATPDP: datp_c + h2o_c --> damp_c + h_c + ppi_c	[1000.]	[-1000.]
DNDPt5m: datp_c + dtdp_m --> datp_m + dtdp_c	[1000.]	[0.]
DNDPt4m: datp_c + dudp_m --> datp_m + dudp_c	[1000.]	[0.]
r0280: dadp_c + h_c + pep_c --> datp_c + pyr_c	[1000.]	[0.]
DNDPt1m: adp_m + datp_c --> adp_c + datp_m	[1000.]	[0.]
r0358: datp_c + fru_c --> dadp_c + f6p_c + h_c	[1000.]	[0.]
DNDPt3m: datp_c + dcdp_m --> datp_m + dcdp_c	[1000.]	[0.]
DNDPt7m: dadp_m + datp_c --> dadp_c + datp_m	[1000.]	[0.]
ADKd: damp_c + datp_c <=> 2.0 dadp_c	[1000.]	[0.]
DATPtn: datp_c <=> datp_n	[1000.]	[-1000.]
DATPtm: datp_c --> datp_m	[0.]	[0.]
r0355: datp_c + glc_D_c --> dadp_c + g6p_c + h_c	[1000.]	[0.]
RE0453C: datp_c + dtdp_c <=> dadp_c + dttp_c	[1000.]	[0.]
DCTPtm: dctp_c --> dctp_m	[1000.]	[-1000.]
DNDPt51m: dcdp_m + dctp_c --> dcdp_c + dctp_m	[1000.]	[0.]
CYTK12: dcmp_c + dctp_c <=> 2.0 dcdp_c	[1000.]	[0.]
DNDPt53m: dctp_c + dgdp_m --> dctp_m + dgdp_c	[1000.]	[-1000.]
DCTPDP: dctp_c + h2o_c --> dcmp_c + h_c + ppi_c	[1000.]	[0.]
DNDPt54m: dadp_m + dctp_c --> dadp_c + dctp_m	[1000.]	[0.]
DCTPtn: dctp_c <=> dctp_n	[1000.]	[0.]
CYTK9: cmp_c + dctp_c <=> cdp_c + dcdp_c	[1000.]	[6.96135052e-12]
DNDPt52m: dctp_c + dudp_m --> dctp_m + dudp_c	[1000.]	[-1000.]
UMPK6: dctp_c + ump_c <=> dcdp_c + udp_c	[1000.]	[0.]
DNDPt55m: adp_m + dctp_c --> adp_c + dctp_m	[1000.]	[-1000.]
BiGGRxn81: dgtp_c + nad_c <=> dgdp_c + h_c + nadp_c	[1000.]	[0.]
r0413: dgdp_c + h_c + pep_c --> dgtp_c + pyr_c	[1000.]	[-1000.]
CYTK10: cmp_c + dgtp_c <=> cdp_c + dgdp_c	[1000.]	[0.]
DNDPt58m: adp_m + dgtp_c --> adp_c + dgtp_m	[1000.]	[-1000.]
DNDPt62m: dgdp_m + dgtp_c --> dgdp_c + dgtp_m	[1000.]	[0.]
CYTK11: dcmp_c + dgtp_c <=> dcdp_c + dgdp_c	[1000.]	[0.]
DNDPt59m: dadp_m + dgtp_c --> dadp_c + dgtp_m	[1000.]	[-1000.]
DNDPt60m: dgtp_c + dudp_m --> dgtp_m + dudp_c	[1000.]	[0.]
DGTPtm: dgtp_c --> dgtp_m	[1000.]	[0.]
ADNK4: adn_c + dgtp_c --> amp_c + dgdp_c + h_c	[1000.]	[0.]
RE1530C: dgtp_c + duri_c <=> dgdp_c + dump_c + h_c	[1000.]	[0.]
DNDPt63m: dcdp_m + dgtp_c --> dcdp_c + dgtp_m	[1000.]	[-1000.]
DNDPt61m: dgtp_c + dtdp_m --> dgtp_m + dtdp_c	[1000.]	[0.]
DGTPtn: dgtp_c <=> dgtp_n	[1000.]	[0.]
UMPK7: dgtp_c + ump_c <=> dgdp_c + udp_c	[0.]	[0.]
DTTPtm: dttp_c --> dttp_m	[1000.]	[-1000.]
DNDPt47m: dtdp_m + dttp_c --> dtdp_c + dttp_m	[1000.]	[0.]
DTTPDP: dttp_c + h2o_c --> dtmp_c + h_c + ppi_c	[1000.]	[0.]
DTTPtn: dttp_c <=> dttp_n	[1000.]	[0.]
DNDPt45m: adp_m + dttp_c --> adp_c + dttp_m	[1000.]	[-1000.]
DNDPt48m: dgdp_m + dttp_c --> dgdp_c + dttp_m	[1000.]	[0.]
RE2954C: dtdp_c + h_c + pep_c --> dttp_c + pyr_c	[1000.]	[0.]
DNDPt49m: dadp_m + dttp_c --> dadp_c + dttp_m	[1000.]	[0.]
DNDPt46m: dttp_c + dudp_m --> dttp_m + dudp_c	[1000.]	[0.]
DNDPt50m: dcdp_m + dttp_c --> dcdp_c + dttp_m	[1000.]	[0.]
G1PTT: dttp_c + g1p_c + h_c --> dtdpglu_c + ppi_c	[1000.]	[0.]
r1924: gln_L_e + na1_e + orn_c --> gln_L_c + na1_c + orn_e	[0.]	[0.]
GLNtm: gln_L_c --> gln_L_m	[1000.]	[0.]
r1884: gln_L_c + hom_L_e + na1_e --> gln_L_e + hom_L_c + na1_c	[1000.]	[0.]
r1578: gln_L_e + leu_L_c <=> gln_L_c + leu_L_e	[1000.]	[0.]
r1702: gln_L_e + gly_c + na1_e --> gln_L_c + gly_e + na1_c	[1000.]	[-1000.]
GLNSERNaEx: gln_L_e + na1_e + ser_L_c --> gln_L_c + na1_c + ser_L_e	[1000.]	[0.]
r1824: gln_L_c + na1_e + pro_L_e --> gln_L_e + na1_c + pro_L_c	[1000.]	[0.]
SERGLNNaEx: gln_L_c + na1_e + ser_L_e --> gln_L_e + na1_c + ser_L_c	[1000.]	[0.]
GF6PTA: f6p_c + gln_L_c --> gam6p_c + glu_L_c	[1000.]	[0.]
r1715: gln_L_e + hom_L_c + na1_e --> gln_L_c + hom_L_e + na1_c	[1000.]	[0.]
r1809: gln_L_c + leu_L_e + na1_e --> gln_L_e + leu_L_c + na1_c	[1000.]	[0.]
r1926: citr_L_c + gln_L_e + na1_e --> citr_L_e + gln_L_c + na1_c	[1000.]	[0.]
r1764: gln_L_c + na1_e + phe_L_e --> gln_L_e + na1_c + phe_L_c	[1000.]	[0.]
r1579: gln_L_e + pro_L_c <=> gln_L_c + pro_L_e	[1000.]	[0.]
GLNtN1: gln_L_e + h_c + 2.0 na1_e <=> gln_L_c + h_e + 2.0 na1_c	[1000.]	[-1000.]
UNK2: 2kmb_c + gln_L_c + 2.0 h_c --> glu_L_c + met_L_c	[1000.]	[-1000.]
r1705: gln_L_e + met_L_c + na1_e --> gln_L_c + met_L_e + na1_c	[1000.]	[0.]
r2026: gln_L_c + orn_e --> gln_L_e + orn_c	[1000.]	[0.]
GLNTHRNaEx: gln_L_e + na1_e + thr_L_c --> gln_L_c + na1_c + thr_L_e	[1000.]	[0.]
r1716: gln_L_e + ile_L_c + na1_e --> gln_L_c + ile_L_e + na1_c	[1000.]	[0.]
r1734: gln_L_c + met_L_e + na1_e --> gln_L_e + met_L_c + na1_c	[1000.]	[0.]
r1706: gln_L_e + na1_e + trp_L_c --> gln_L_c + na1_c + trp_L_e	[1000.]	[0.]
r2525: gln_L_e <=> gln_L_c	[1000.]	[0.]
GLNTRAH: glntrna_c + h2o_c --> gln_L_c + h_c + trnagln_c	[1000.]	[-1000.]
r1854: gln_L_c + na1_e + val_L_e --> gln_L_e + na1_c + val_L_c	[1000.]	[0.]
r1581: gln_L_e + val_L_c <=> gln_L_c + val_L_e	[1000.]	[0.]
r1713: gln_L_e + na1_e + val_L_c --> gln_L_c + na1_c + val_L_e	[1000.]	[-1000.]
GLNt7l: gln_L_l --> gln_L_c	[1000.]	[0.]
r1925: gln_L_e + his_L_c + na1_e --> gln_L_c + his_L_e + na1_c	[0.]	[0.]
SERDGLNexR: gln_L_c + ser_D_e <=> gln_L_e + ser_D_c	[1000.]	[0.]
r1576: gln_L_e + tyr_L_c <=> gln_L_c + tyr_L_e	[1000.]	[-1000.]
r1673: gln_L_c + gly_e + na1_e --> gln_L_e + gly_c + na1_c	[1000.]	[-1000.]
r1749: gln_L_c + na1_e + trp_L_e --> gln_L_e + na1_c + trp_L_c	[1000.]	[0.]
r1583: gln_L_e + hom_L_c <=> gln_L_c + hom_L_e	[1000.]	[0.]
r1707: gln_L_e + na1_e + phe_L_c --> gln_L_c + na1_c + phe_L_e	[1000.]	[-1000.]
r1544: gln_L_c + gly_e <=> gln_L_e + gly_c	[1000.]	[0.]
GLUPRT: gln_L_c + h2o_c + prpp_c --> glu_L_c + ppi_c + pram_c	[1000.]	[-1000.]
GLNt4: gln_L_e + na1_e --> gln_L_c + na1_c	[1000.]	[1.33115911e-12]
r2058: citr_L_e + gln_L_c --> citr_L_c + gln_L_e	[1000.]	[0.]
r1710: gln_L_e + leu_L_c + na1_e --> gln_L_c + leu_L_e + na1_c	[1000.]	[0.]
r1574: gln_L_e + trp_L_c <=> gln_L_c + trp_L_e	[1000.]	[0.]
THRGLNNaEx: gln_L_c + na1_e + thr_L_e --> gln_L_e + na1_c + thr_L_c	[1000.]	[-1000.]
r1994: gln_L_c + lys_L_e --> gln_L_e + lys_L_c	[1000.]	[0.]
PHACCOAGLNAC: gln_L_c + phaccoa_c --> coa_c + pheacgln_c	[1000.]	[0.]
GLUN: gln_L_c + h2o_c --> glu_L_c + nh4_c	[1000.]	[0.]
SERGLNexR: gln_L_c + ser_L_e <=> gln_L_e + ser_L_c	[1000.]	[0.]
GLNATB0tc: cl_e + gln_L_e + 2.0 na1_e --> cl_c + gln_L_c + 2.0 na1_c	[1000.]	[-1000.]
ALADGLNexR: ala_D_e + gln_L_c <=> ala_D_c + gln_L_e	[1000.]	[0.]
r1584: gln_L_e + ile_L_c <=> gln_L_c + ile_L_e	[1000.]	[-1000.]
r1573: gln_L_e + met_L_c <=> gln_L_c + met_L_e	[1000.]	[-1000.]
r1779: gln_L_c + na1_e + tyr_L_e --> gln_L_e + na1_c + tyr_L_c	[1000.]	[-1000.]
r1899: gln_L_c + ile_L_e + na1_e --> gln_L_e + ile_L_c + na1_c	[1000.]	[0.]
r1708: gln_L_e + na1_e + tyr_L_c --> gln_L_c + na1_c + tyr_L_e	[1000.]	[0.]
r1922: gln_L_e + lys_L_c + na1_e --> gln_L_c + lys_L_e + na1_c	[1000.]	[0.]
r1575: gln_L_e + phe_L_c <=> gln_L_c + phe_L_e	[1000.]	[0.]
r1711: gln_L_e + na1_e + pro_L_c --> gln_L_c + na1_c + pro_L_e	[1000.]	[-1000.]
r2042: gln_L_c + his_L_e --> gln_L_e + his_L_c	[1000.]	[0.]
THRGLNexR: gln_L_c + thr_L_e <=> gln_L_e + thr_L_c	[1000.]	[0.]
LCYSTAT: Lcyst_c + akg_c <=> 3spyr_c + glu_L_c	[1000.]	[-1000.]
GLUDC: glu_L_c + h_c --> 4abut_c + co2_c	[1000.]	[-1.90188376e-11]
VALTA: akg_c + val_L_c <=> 3mob_c + glu_L_c	[1000.]	[0.]
RE2034C: C02356_c + akg_c <=> 2obut_c + glu_L_c	[1000.]	[-1000.]
UNK3: 2kmb_c + glu_L_c --> akg_c + met_L_c	[0.]	[0.]
r0911: glu_L_m + pro_L_c <=> glu_L_c + pro_L_m	[1000.]	[0.]
RE3494C: CE7086_c + h2o_c <=> CE7087_c + glu_L_c	[1000.]	[-1000.]
PHETA1: akg_c + phe_L_c <=> glu_L_c + phpyr_c	[0.]	[0.]
GGT6: glu_L_c + leuktrE4_c <=> h2o_c + leuktrF4_c	[1000.]	[-1000.]
OROTGLUt: glu_L_c + orot_e <=> glu_L_e + orot_c	[1000.]	[-1000.]
TYRTA: akg_c + tyr_L_c <=> 34hpp_c + glu_L_c	[1000.]	[-1000.]
ILETA: akg_c + ile_L_c <=> 3mop_c + glu_L_c	[1000.]	[-1000.]
GluForTx: forglu_c + h_c + thf_c --> 5forthf_c + glu_L_c	[1000.]	[-1000.]
GGH: hgthf_c --> 6.0 glu_L_c + thf_c	[1000.]	[0.]
GLUTRAH: glutrna_c + h2o_c --> glu_L_c + h_c + trnaglu_c	[1000.]	[0.]
GLUPROASCT1: glu_L_e + na1_e + pro_L_c --> glu_L_c + na1_c + pro_L_e	[1000.]	[0.]
GLUt6: glu_L_e + h_e + k_c + 3.0 na1_e --> glu_L_c + h_c + k_e + 3.0 na1_c	[1000.]	[0.]
LEUTA: akg_c + leu_L_c <=> 4mop_c + glu_L_c	[1000.]	[0.]
GLUt2m: glu_L_c + h_c <=> glu_L_m + h_m	[1000.]	[-1000.]
GLUt7l: glu_L_l --> glu_L_c	[1000.]	[-1000.]
r1144: glu_L_e + na1_e --> glu_L_c + na1_c	[1000.]	[0.]
3HKYNAKGAT: akg_c + hLkynr_c --> 42A3HP24DB_c + glu_L_c	[1000.]	[0.]
PSERT: 3php_c + glu_L_c --> akg_c + pser_L_c	[1000.]	[0.]
KYNAKGAT: Lkynr_c + akg_c --> 4aphdob_c + glu_L_c	[1000.]	[0.]
GLUtr: glu_L_c <=> glu_L_r	[1000.]	[0.]
3SALATAi: 3sala_c + akg_c + h_c --> 3snpyr_c + glu_L_c	[2.34986554e-14]	[-1000.]
GAUGE-R07396: 4met2obut_c + glu_L_c <=> akg_c + met_L_c	[1000.]	[0.]
AATAi: L2aadp_c + akg_c <=> 2oxoadp_c + glu_L_c	[1000.]	[-1000.]
r0129: gthrd_c + h2o_c --> cgly_c + glu_L_c	[1000.]	[-1000.]
r0641: h2o_c + leuktrC4_c <=> glu_L_c + leuktrD4_c	[1000.]	[0.]
r1383: HC02129_c --> 6.0 glu_L_c + thf_c	[1000.]	[-1000.]
GAUGE-R03189: 5fthf_c + glu_L_c <=> Nforglu_c + thf_m	[1000.]	[0.]
EHGLAT: akg_c + e4hglu_c --> 4h2oglt_c + glu_L_c	[0.]	[0.]
RE2596C: CE2095_c + akg_c <=> CE2947_c + glu_L_c + h2o_c	[0.]	[0.]
CYSTGLUex: Lcystin_e + glu_L_c --> Lcystin_c + glu_L_e	[0.]	[0.]
GAUGE-R02285: forglu_c + h2o_r <=> frmd_c + glu_L_c	[1000.]	[0.]
GLYPHEHYc: glyphe_c + h2o_c --> gly_c + phe_L_c	[1000.]	[-1000.]
GLYtp: gly_c <=> gly_x	[1000.]	[0.]
GLYt2r: gly_e + h_e <=> gly_c + h_c	[1000.]	[-1000.]
r1556: gly_e + hom_L_c <=> gly_c + hom_L_e	[1000.]	[-1000.]
GLYtm: gly_c <=> gly_m	[1000.]	[-1000.]
r1674: gly_e + na1_e + ser_L_c --> gly_c + na1_c + ser_L_e	[1000.]	[-1000.]
r1867: gly_c + na1_e + thr_L_e --> gly_e + na1_c + thr_L_c	[1000.]	[0.]
THRA: thr_L_c --> acald_c + gly_c	[1000.]	[0.]
r1852: gly_c + na1_e + val_L_e --> gly_e + na1_c + val_L_c	[1000.]	[0.]
r2024: gly_c + orn_e --> gly_e + orn_c	[1000.]	[0.]
r1557: gly_e + ile_L_c <=> gly_c + ile_L_e	[1000.]	[0.]
GLYLEUHYDROc: glyleu_c + h2o_c --> gly_c + leu_L_c	[1000.]	[-1000.]
r1546: gly_e + met_L_c <=> gly_c + met_L_e	[1000.]	[0.]
GNMT: amet_c + gly_c --> ahcys_c + h_c + sarcs_c	[1000.]	[-1000.]
SERGLYexR: gly_c + ser_L_e <=> gly_e + ser_L_c	[1000.]	[0.]
r1675: gly_e + met_L_c + na1_e --> gly_c + met_L_e + na1_c	[1000.]	[-1000.]
LTC4CP: h2o_c + leuktrC4_c <=> gly_c + leuktrF4_c	[1000.]	[0.]
r1683: gly_e + na1_e + val_L_c --> gly_c + na1_c + val_L_e	[1000.]	[-1000.]
GLYGLYCNc: glygly_c + h2o_c --> 2.0 gly_c	[1000.]	[0.]
r1547: gly_e + trp_L_c <=> gly_c + trp_L_e	[1000.]	[0.]
LTD4DP: h2o_c + leuktrD4_c <=> gly_c + leuktrE4_c	[1000.]	[-1000.]
GLYTRAH: glytrna_c + h2o_c --> gly_c + h_c + trnagly_c	[1000.]	[-1000.]
r1912: gly_e + lys_L_c + na1_e --> gly_c + lys_L_e + na1_c	[1000.]	[0.]
r2056: citr_L_e + gly_c --> citr_L_c + gly_e	[1000.]	[0.]
r1676: gly_e + na1_e + trp_L_c --> gly_c + na1_c + trp_L_e	[1000.]	[0.]
r0629: cholcoa_c + gly_c <=> coa_c + gchola_c	[1000.]	[0.]
r1686: gly_e + ile_L_c + na1_e --> gly_c + ile_L_e + na1_c	[1000.]	[-1000.]
r1897: gly_c + ile_L_e + na1_e --> gly_e + ile_L_c + na1_c	[1000.]	[0.]
r1681: gly_e + na1_e + pro_L_c --> gly_c + na1_c + pro_L_e	[1000.]	[0.]
r1548: gly_e + phe_L_c <=> gly_c + phe_L_e	[1000.]	[0.]
GLYSARCNc: glysar_c + h2o_c --> gly_c + sarcs_c	[1000.]	[-1000.]
r1684: gly_e + na1_e + thr_L_c --> gly_c + na1_c + thr_L_e	[1000.]	[0.]
LEUGLYHYc: h2o_c + leugly_c <=> gly_c + leu_L_c	[1000.]	[0.]
r1882: gly_c + hom_L_e + na1_e --> gly_e + hom_L_c + na1_c	[1000.]	[0.]
r1717: gly_c + na1_e + ser_L_e --> gly_e + na1_c + ser_L_c	[1000.]	[0.]
GLYt7_311_r: cl_e + gly_e + 3.0 na1_e <=> cl_c + gly_c + 3.0 na1_c	[1000.]	[0.]
GHMT3: 3htmelys_c + h_c --> 4tmeabut_c + gly_c	[1000.]	[-1000.]
r1915: gly_e + his_L_c + na1_e --> gly_c + his_L_e + na1_c	[0.]	[0.]
r1677: gly_e + na1_e + phe_L_c --> gly_c + na1_c + phe_L_e	[1000.]	[0.]
THRGLYexR: gly_c + thr_L_e <=> gly_e + thr_L_c	[1000.]	[0.]
r1549: gly_e + tyr_L_c <=> gly_c + tyr_L_e	[1000.]	[-1000.]
r0797: dcholcoa_c + gly_c <=> coa_c + dgchol_c	[1000.]	[-1000.]
GLYPROPRO1c: glypro_c + h2o_c --> gly_c + pro_L_c	[1000.]	[-1000.]
r1685: gly_e + hom_L_c + na1_e --> gly_c + hom_L_e + na1_c	[1000.]	[0.]
GHMT2r: ser_L_c + thf_c <=> gly_c + h2o_c + mlthf_c	[1000.]	[0.]
r1554: gly_e + val_L_c <=> gly_c + val_L_e	[1000.]	[-1000.]
SERDGLYexR: gly_c + ser_D_e <=> gly_e + ser_D_c	[1000.]	[-1000.]
r1914: gly_e + na1_e + orn_c --> gly_c + na1_c + orn_e	[1000.]	[-1000.]
PROGLYPRO1c: h2o_c + progly_c <=> gly_c + pro_L_c	[1000.]	[0.]
GLYt2rL: gly_l + h_l <=> gly_c + h_c	[1000.]	[0.]
r1551: gly_e + leu_L_c <=> gly_c + leu_L_e	[0.]	[0.]
