NCBI GeneID	Symbol	Description
100752023	Pskh1	protein serine kinase H1
100752024	Epha1	EPH receptor A1
100752026	Ramp2	receptor activity modifying protein 2
100752027	Cadps2	calcium dependent secretion activator 2
100752028	Vsx2	visual system homeobox 2
100752030	Dmkn	dermokine
100752038	Hecw1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
100752039	Hephl1	hephaestin like 1
100752040	Plxnb3	plexin B3
100752046	Arap3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3
100752054	Wdr17	WD repeat domain 17
100752056	Stk33	serine/threonine kinase 33
100752059	Tbx20	T-box transcription factor 20
100752066	Agmat	agmatinase
100752070	Abcc6	ATP binding cassette subfamily C member 6
100752075	Cenpf	centromere protein F
100752076	Opn4	opsin 4
100752079	Mroh7	maestro heat like repeat family member 7
100752081	Rnft2	ring finger protein, transmembrane 2
100752085	Slc35d3	solute carrier family 35 member D3
100752092	Ccdc42	coiled-coil domain containing 42
100752105	Gja8	gap junction protein alpha 8
100752108	Zbtb42	zinc finger and BTB domain containing 42
100752117	Fam163a	family with sequence similarity 163 member A
100752121	Zmynd10	zinc finger MYND-type containing 10
100752122	CUNH6orf118	chromosome unknown C6orf118 homolog
100752125	Ptpro	protein tyrosine phosphatase receptor type O
100752127	Cth	cystathionine gamma-lyase
100752131	Osr1	odd-skipped related transcription factor 1
100752136	Bpifc	BPI fold containing family C
100752143	Fabp7	fatty acid binding protein 7
100752144	Insl5	insulin like 5
100752145	Mpp2	MAGUK p55 scaffold protein 2
100752147	Trmt10b	tRNA methyltransferase 10B
100752152	Nkain3	sodium/potassium transporting ATPase interacting 3
100752153	Tmem200c	transmembrane protein 200C
100752154	Ddias	DNA damage induced apoptosis suppressor
100752156	Gpr182	G protein-coupled receptor 182
100752160	Mpdz	multiple PDZ domain crumbs cell polarity complex component
100752167	CUNH19orf12	chromosome unknown C19orf12 homolog
100752172	Ckmt2	creatine kinase, mitochondrial 2
100752173	Rnf32	ring finger protein 32
100752175	Lyrm1	LYR motif containing 1
100752181	Lim2	lens intrinsic membrane protein 2
100752182	Sdr42e1	short chain dehydrogenase/reductase family 42E, member 1
100752184	Arsj	arylsulfatase family member J
100752186	Fam168a	family with sequence similarity 168 member A
100752188	Tec	tec protein tyrosine kinase
100752192	Tasor	transcription activation suppressor
100752193	Prr5	proline rich 5
100752196	Dclre1c	DNA cross-link repair 1C
100752197	Il1f10	interleukin 1 family member 10
100752201	Dnajb14	DnaJ heat shock protein family (Hsp40) member B14
100752204	Gpr52	G protein-coupled receptor 52
100752223	Mphosph8	M-phase phosphoprotein 8
100752227	Mpo	myeloperoxidase
100752238	Stmn2	stathmin 2
100752250	CUNH16orf54	chromosome unknown C16orf54 homolog
100752253	Cplane2	ciliogenesis and planar polarity effector complex subunit 2
100752256	Sec11a	SEC11 homolog A, signal peptidase complex subunit
100752261	Aif1l	allograft inflammatory factor 1 like
100752266	Tmx4	thioredoxin related transmembrane protein 4
100752267	Nrros	negative regulator of reactive oxygen species
100752272	Cdc42ep4	CDC42 effector protein 4
100752275	Nkx3-1	NK3 homeobox 1
100752278	Prg4	proteoglycan 4
100752280	Ppil6	peptidylprolyl isomerase like 6
100752281	Slc39a2	solute carrier family 39 member 2
100752283	Gltpd2	glycolipid transfer protein domain containing 2
100752285	Slc1a2	solute carrier family 1 member 2
100752290	Trps1	transcriptional repressor GATA binding 1
100752298	Nr2e3	nuclear receptor subfamily 2 group E member 3
100752306	H1-6	H1.6 linker histone, cluster member
100752307	Tssk1b	testis specific serine kinase 1B
100752308	Gfra3	GDNF family receptor alpha 3
100752310	Aifm3	apoptosis inducing factor mitochondria associated 3
100752315	Klhl31	kelch like family member 31
100752330	Nr4a3	nuclear receptor subfamily 4 group A member 3
100752332	Rundc3b	RUN domain containing 3B
100752336	Trypsin-4	trypsin-4
100752337	Dcstamp	dendrocyte expressed seven transmembrane protein
100752340	Fchsd1	FCH and double SH3 domains 1
100752343	Wdr38	WD repeat domain 38
100752344	Bcat2	branched chain amino acid transaminase 2
100752350	Trim66	tripartite motif containing 66
100752351	Rab40b	RAB40B, member RAS oncogene family
100752352	Klk10	kallikrein related peptidase 10
100752353	Dpy19l2	dpy-19 like 2
100752360	Fhad1	forkhead associated phosphopeptide binding domain 1
100752362	Nr2f1	nuclear receptor subfamily 2 group F member 1
100752367	Prox1	prospero homeobox 1
100752371	Acot11	acyl-CoA thioesterase 11
100752374	Gadl1	glutamate decarboxylase like 1
100752376	Map3k5	mitogen-activated protein kinase kinase kinase 5
100752380	Tdrd1	tudor domain containing 1
100752383	Odf4	outer dense fiber of sperm tails 4
100752384	Mutyh	mutY DNA glycosylase
100752385	Soat2	sterol O-acyltransferase 2
100752392	Mymk	myomaker, myoblast fusion factor
100752400	Ahnak2	AHNAK nucleoprotein 2
100752401	Rgn	regucalcin
100752403	Tgm3	transglutaminase 3
100752405	Map7d2	MAP7 domain containing 2
100752408	Ctnnd2	catenin delta 2
100752410	Tdrd5	tudor domain containing 5
100752413	Lrtm2	leucine rich repeats and transmembrane domains 2
100752415	Pcdh17	protocadherin 17
100752417	Tssk3	testis specific serine kinase 3
100752421	Ptger3	prostaglandin E receptor 3
100752423	Npr1	natriuretic peptide receptor 1
100752424	Tmco2	transmembrane and coiled-coil domains 2
100752429	CUNH11orf87	chromosome unknown C11orf87 homolog
100752437	Clvs2	clavesin 2
100752438	Dynlt5	dynein light chain Tctex-type family member 5
100752439	Ilvbl	ilvB acetolactate synthase like
100752440	Pax5	paired box 5
100752444	Ntmt2	N-terminal Xaa-Pro-Lys N-methyltransferase 2
100752445	Slc6a12	solute carrier family 6 member 12
100752449	Hacd3	3-hydroxyacyl-CoA dehydratase 3
100752450	Zbtb39	zinc finger and BTB domain containing 39
100752451	Oplah	5-oxoprolinase, ATP-hydrolysing
100752452	Atp13a4	ATPase 13A4
100752455	Zeb2	zinc finger E-box binding homeobox 2
100752459	Dach2	dachshund family transcription factor 2
100752461	Slc4a9	solute carrier family 4 member 9
100752462	Actl9	actin like 9
100752471	Tex13b	testis expressed 13B
100752474	Nkg7	natural killer cell granule protein 7
100752475	Plcg2	phospholipase C gamma 2
100752476	C3H11orf42	chromosome 3 C11orf42 homolog
100752489	Meig1	meiosis/spermiogenesis associated 1
100752490	Il36rn	interleukin 36 receptor antagonist
100752492	Rbpms2	RNA binding protein, mRNA processing factor 2
100752493	Slc6a11	solute carrier family 6 member 11
100752496	Chrm4	cholinergic receptor muscarinic 4
100752511	Ffar4	free fatty acid receptor 4
100752513	Lrrn2	leucine rich repeat neuronal 2
100752523	Rasl10a	RAS like family 10 member A
100752528	Vstm5	V-set and transmembrane domain containing 5
100752531	Ptprn2	protein tyrosine phosphatase receptor type N2
100752533	Coq8a	coenzyme Q8A
100752534	Hey1	hes related family bHLH transcription factor with YRPW motif 1
100752540	Serhl2	serine hydrolase like 2
100752543	Asb5	ankyrin repeat and SOCS box containing 5
100752544	Cend1	cell cycle exit and neuronal differentiation 1
100752546	Spn	sialophorin
100752548	Arhgef19	Rho guanine nucleotide exchange factor 19
100752549	Slfn14	schlafen family member 14
100752563	Nxph2	neurexophilin 2
100752564	Bmp2	bone morphogenetic protein 2
100752572	Igsf9b	immunoglobulin superfamily member 9B
100752574	Adamdec1	ADAM like decysin 1
100752580	Ndrg2	NDRG family member 2
100752582	Pld2	phospholipase D2
100752589	Msra	methionine sulfoxide reductase A
100752597	Thsd4	thrombospondin type 1 domain containing 4
100752600	Klhl34	kelch like family member 34
100752603	Sntg2	syntrophin gamma 2
100752611	Mrc2	mannose receptor C type 2
100752613	Hdhd3	haloacid dehalogenase like hydrolase domain containing 3
100752614	Mlip	muscular LMNA interacting protein
100752618	Nrn1l	neuritin 1 like
100752619	Tas2r41	taste 2 receptor member 41
100752620	Nags	N-acetylglutamate synthase
100752625	Cd22	CD22 molecule
100752626	Sh2d6	SH2 domain containing 6
100752628	Cysltr2	cysteinyl leukotriene receptor 2
100752633	Dusp9	dual specificity phosphatase 9
100752634	Nbl1	NBL1, DAN family BMP antagonist
100752636	Dpys	dihydropyrimidinase
100752639	Hdac3	histone deacetylase 3
100752644	Hsd17b14	hydroxysteroid 17-beta dehydrogenase 14
100752648	Fstl5	follistatin like 5
100752649	Rin3	Ras and Rab interactor 3
100752651	CUNH11orf16	chromosome unknown C11orf16 homolog
100752652	Ptchd3	patched domain containing 3
100752663	Upp1	uridine phosphorylase 1
100752667	Rtl3	retrotransposon Gag like 3
100752668	Idi2	isopentenyl-diphosphate delta isomerase 2
100752669	Dnah14	dynein axonemal heavy chain 14
100752671	Rwdd4	RWD domain containing 4
100752673	Fam151a	family with sequence similarity 151 member A
100752675	Ar	androgen receptor
100752678	Map7	microtubule associated protein 7
100752680	Drd5	dopamine receptor D5
100752683	Gpr33	G protein-coupled receptor 33
100752685	Arhgef15	Rho guanine nucleotide exchange factor 15
100752686	Hpdl	4-hydroxyphenylpyruvate dioxygenase like
100752692	Tex43	testis expressed 43
100752695	Hoxd10	homeobox D10
100752696	Morn3	MORN repeat containing 3
100752699	Pdzk1	PDZ domain containing 1
100752700	CUNH1orf56	chromosome unknown C1orf56 homolog
100752702	Clba1	clathrin binding box of aftiphilin containing 1
100752705	Mast4	microtubule associated serine/threonine kinase family member 4
100752714	Nphs2	NPHS2 stomatin family member, podocin
100752718	Hyal1	hyaluronidase 1
100752719	Cby2	chibby family member 2
100752722	Wnt2	Wnt family member 2
100752731	Epha10	EPH receptor A10
100752732	Elane	elastase, neutrophil expressed
100752738	Synpr	synaptoporin
100752742	Sgip1	SH3GL interacting endocytic adaptor 1
100752744	Grhpr	glyoxylate and hydroxypyruvate reductase
100752745	Cnr2	cannabinoid receptor 2
100752746	Agmo	alkylglycerol monooxygenase
100752749	Slc6a13	solute carrier family 6 member 13
100752751	Zbtb14	zinc finger and BTB domain containing 14
100752752	Dlg2	discs large MAGUK scaffold protein 2
100752753	Igdcc4	immunoglobulin superfamily DCC subclass member 4
100752754	Myo1a	myosin IA
100752755	Spatc1	spermatogenesis and centriole associated 1
100752757	Mfsd13a	major facilitator superfamily domain containing 13A
100752765	Adamts10	ADAM metallopeptidase with thrombospondin type 1 motif 10
100752766	Tfr2	transferrin receptor 2
100752768	Acot12	acyl-CoA thioesterase 12
100752771	Dnah3	dynein axonemal heavy chain 3
100752773	Dnah7	dynein axonemal heavy chain 7
100752776	Cldnd2	claudin domain containing 2
100752778	Fhip1b	FHF complex subunit HOOK interacting protein 1B
100752781	P2ry6	pyrimidinergic receptor P2Y6
100752783	Tmem160	transmembrane protein 160
100752791	Acbd7	acyl-CoA binding domain containing 7
100752797	Fndc7	fibronectin type III domain containing 7
100752798	Mdk	midkine
100752800	Pamr1	peptidase domain containing associated with muscle regeneration 1
100752803	Ibsp	integrin binding sialoprotein
100752805	Emb	embigin
100752813	Pde6c	phosphodiesterase 6C
100752815	Nfasc	neurofascin
100752816	Gsg1	germ cell associated 1
100752822	Nek5	NIMA related kinase 5
100752823	Foxn4	forkhead box N4
100752828	Relb	RELB proto-oncogene, NF-kB subunit
100752833	Eda2r	ectodysplasin A2 receptor
100752836	Sde2	SDE2 telomere maintenance homolog
100752837	Zbtb10	zinc finger and BTB domain containing 10
100752842	Nfam1	NFAT activating protein with ITAM motif 1
100752845	Spata4	spermatogenesis associated 4
100752849	Gcat	glycine C-acetyltransferase
100752850	Acrv1	acrosomal vesicle protein 1
100752858	Krt2	keratin 2
100752860	Bcl2l10	BCL2 like 10
100752866	Smco1	single-pass membrane protein with coiled-coil domains 1
100752873	Spata19	spermatogenesis associated 19
100752880	Ak9	adenylate kinase 9
100752883	Pdzrn4	PDZ domain containing ring finger 4
100752888	Gldn	gliomedin
100752890	Frmd5	FERM domain containing 5
100752891	Rab1a	RAB1A, member RAS oncogene family
100752893	Kcnu1	potassium calcium-activated channel subfamily U member 1
100752905	Islr	immunoglobulin superfamily containing leucine rich repeat
100752907	Wnt8a	Wnt family member 8A
100752911	Fam171b	family with sequence similarity 171 member B
100752912	Wdr31	WD repeat domain 31
100752914	Sycp1	synaptonemal complex protein 1
100752922	Heatr4	HEAT repeat containing 4
100752934	Htr6	5-hydroxytryptamine receptor 6
100752938	Diaph1	diaphanous related formin 1
100752943	Plekha4	pleckstrin homology domain containing A4
100752945	Riox2	ribosomal oxygenase 2
100752948	Rgs7bp	regulator of G protein signaling 7 binding protein
100752949	Slc24a4	solute carrier family 24 member 4
100752950	Gpr68	G protein-coupled receptor 68
100752951	Nrip3	nuclear receptor interacting protein 3
100752961	Slc16a14	solute carrier family 16 member 14
100752962	Ctrc	chymotrypsin C
100752964	CUNH7orf57	chromosome unknown C7orf57 homolog
100752966	Lcn2	lipocalin 2
100752967	Zfta	zinc finger translocation associated
100752975	Celf3	CUGBP Elav-like family member 3
100752981	Slc2a9	solute carrier family 2 member 9
100752982	Txndc11	thioredoxin domain containing 11
100752986	Ctc1	CST telomere replication complex component 1
100752988	Csn3	casein kappa
100752990	Abhd12b	abhydrolase domain containing 12B
100752995	Hoxd12	homeobox D12
100753002	Gpr132	G protein-coupled receptor 132
100753008	Prr15l	proline rich 15 like
100753017	Wnt5b	Wnt family member 5B
100753020	Fam167b	family with sequence similarity 167 member B
100753022	Brinp2	BMP/retinoic acid inducible neural specific 2
100753023	Colec10	collectin subfamily member 10
100753024	Negr1	neuronal growth regulator 1
100753026	S100a16	S100 calcium binding protein A16
100753027	Col9a2	collagen type IX alpha 2 chain
100753028	Ptger1	prostaglandin E receptor 1
100753029	Rnf17	ring finger protein 17
100753032	Kiss1r	KISS1 receptor
100753036	Tmem254	transmembrane protein 254
100753046	Meox2	mesenchyme homeobox 2
100753049	Usp18	ubiquitin specific peptidase 18
100753050	Cx3cr1	C-X3-C motif chemokine receptor 1
100753051	Akain1	A-kinase anchor inhibitor 1
100753053	Igdcc3	immunoglobulin superfamily DCC subclass member 3
100753067	Actl6b	actin like 6B
100753068	Fam13a	family with sequence similarity 13 member A
100753078	Etfb	electron transfer flavoprotein subunit beta
100753079	Fam78a	family with sequence similarity 78 member A
100753085	Npas1	neuronal PAS domain protein 1
100753086	Adgrb3	adhesion G protein-coupled receptor B3
100753089	Wnt5a	Wnt family member 5A
100753090	Rpl36al	ribosomal protein L36a like
100753092	Rpp38	ribonuclease P/MRP subunit p38
100753094	Rab3b	RAB3B, member RAS oncogene family
100753104	Tnn	tenascin N
100753106	Mepe	matrix extracellular phosphoglycoprotein
100753109	Hcn1	hyperpolarization activated cyclic nucleotide gated potassium channel 1
100753124	Acacb	acetyl-CoA carboxylase beta
100753125	Rnf43	ring finger protein 43
100753126	Arid3c	AT-rich interaction domain 3C
100753127	Nefh	neurofilament heavy chain
100753140	Gk	glycerol kinase
100753141	Sim2	SIM bHLH transcription factor 2
100753144	Tmem86a	transmembrane protein 86A
100753150	Ei24	EI24 autophagy associated transmembrane protein
100753151	Fam131c	family with sequence similarity 131 member C
100753159	Slc25a28	solute carrier family 25 member 28
100753160	Myo5c	myosin VC
100753171	Sstr2	somatostatin receptor 2
100753173	Opcml	opioid binding protein/cell adhesion molecule like
100753181	Apobr	apolipoprotein B receptor
100753183	Atp6v1fnb	ATP6V1F neighbor
100753187	Dmxl2	Dmx like 2
100753189	Wdr76	WD repeat domain 76
100753194	Hpx	hemopexin
100753197	Sned1	sushi, nidogen and EGF like domains 1
100753202	Igfals	insulin like growth factor binding protein acid labile subunit
100753204	Stoml1	stomatin like 1
100753206	Pkd2l2	polycystin 2 like 2, transient receptor potential cation channel
100753208	Crabp2	cellular retinoic acid binding protein 2
100753209	Ace3	angiotensin I converting enzyme (peptidyl-dipeptidase A) 3
100753211	Rnf183	ring finger protein 183
100753212	Fbxl21p	F-box and leucine rich repeat protein 21
100753220	Cnp	2',3'-cyclic nucleotide 3' phosphodiesterase
100753226	Galnt3	polypeptide N-acetylgalactosaminyltransferase 3
100753229	Calcrl	calcitonin receptor like receptor
100753232	Slc38a11	solute carrier family 38 member 11
100753233	Atp2b3	ATPase plasma membrane Ca2+ transporting 3
100753234	Tmco4	transmembrane and coiled-coil domains 4
100753236	Timp4	TIMP metallopeptidase inhibitor 4
100753246	Neurod4	neuronal differentiation 4
100753262	Abca13	ATP binding cassette subfamily A member 13
100753263	Slc10a4	solute carrier family 10 member 4
100753274	Zcwpw2	zinc finger CW-type and PWWP domain containing 2
100753277	Pde7b	phosphodiesterase 7B
100753282	Parvg	parvin gamma
100753293	Hoxd13	homeobox D13
100753294	Setd1b	SET domain containing 1B, histone lysine methyltransferase
100753300	Jag2	jagged canonical Notch ligand 2
100753303	Ccdc124	coiled-coil domain containing 124
100753309	Armcx4	armadillo repeat containing X-linked 4
100753310	Cnn1	calponin 1
100753312	Mtnr1b	melatonin receptor 1B
100753314	Znf648	zinc finger protein 648
100753315	Alas2	5'-aminolevulinate synthase 2
100753316	Cd244	CD244 molecule
100753318	Hyal3	hyaluronidase 3
100753322	Astn1	astrotactin 1
100753324	Il34	interleukin 34
100753329	Dytn	dystrotelin
100753332	Exph5	exophilin 5
100753335	CUNH12orf50	chromosome unknown C12orf50 homolog
100753337	Smpdl3a	sphingomyelin phosphodiesterase acid like 3A
100753339	Lrit1	leucine rich repeat, Ig-like and transmembrane domains 1
100753340	Notch3	notch receptor 3
100753341	Frmpd1	FERM and PDZ domain containing 1
100753343	Dgkb	diacylglycerol kinase beta
100753345	Fmo2	flavin containing dimethylaniline monoxygenase 2
100753346	Ccr8	C-C motif chemokine receptor 8
100753350	Gsn	gelsolin
100753351	Kcnip2	potassium voltage-gated channel interacting protein 2
100753352	Zpbp	zona pellucida binding protein
100753354	Ccnb1ip1	cyclin B1 interacting protein 1
100753360	Myo1f	myosin IF
100753362	Gigyf1	GRB10 interacting GYF protein 1
100753365	Lmbr1	limb development membrane protein 1
100753367	Tpd52l1	TPD52 like 1
100753368	Calhm2	calcium homeostasis modulator family member 2
100753374	Ccdc184	coiled-coil domain containing 184
100753377	Mcoln3	mucolipin TRP cation channel 3
100753378	Tmc1	transmembrane channel like 1
100753382	Iffo1	intermediate filament family orphan 1
100753383	Synpo2	synaptopodin 2
100753384	Cacna2d3	calcium voltage-gated channel auxiliary subunit alpha2delta 3
100753385	Mgat2	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
100753396	Harbi1	harbinger transposase derived 1
100753398	Prr5l	proline rich 5 like
100753402	Ms4a12	membrane spanning 4-domains A12
100753412	Siah3	siah E3 ubiquitin protein ligase family member 3
100753416	Tnfrsf11a	TNF receptor superfamily member 11a
100753424	Cabp7	calcium binding protein 7
100753425	Rtl4	retrotransposon Gag like 4
100753426	Gemin7	gem nuclear organelle associated protein 7
100753429	Kcnrg	potassium channel regulator
100753435	Rnf39	ring finger protein 39
100753436	Rnase13	ribonuclease A family member 13 (inactive)
100753437	Tasl	TLR adaptor interacting with endolysosomal SLC15A4
100753438	Morc3	MORC family CW-type zinc finger 3
100753439	Heph	hephaestin
100753442	Ptpn5	protein tyrosine phosphatase non-receptor type 5
100753447	Gdpd3	glycerophosphodiester phosphodiesterase domain containing 3
100753450	Cnmd	chondromodulin
100753453	Macc1	MET transcriptional regulator MACC1
100753457	Myo5a	myosin VA
100753462	Cnga4	cyclic nucleotide gated channel subunit alpha 4
100753468	Ntm	neurotrimin
100753469	Wsb2	WD repeat and SOCS box containing 2
100753471	Riiad1	regulatory subunit of type II PKA R-subunit domain containing 1
100753477	Myl9	myosin light chain 9
100753480	Il27	interleukin 27
100753482	Irf5	interferon regulatory factor 5
100753486	Rp1l1	RP1 like 1
100753496	Phex	phosphate regulating endopeptidase X-linked
100753501	Meiob	meiosis specific with OB-fold
100753507	Bcan	brevican
100753512	Lect2	leukocyte cell derived chemotaxin 2
100753516	Tspyl5	TSPY like 5
100753527	Csrnp3	cysteine and serine rich nuclear protein 3
100753534	Rnf186	ring finger protein 186
100753539	Pcdhgc4	protocadherin gamma subfamily C, 4
100753549	Rnf180	ring finger protein 180
100753550	Dglucy	D-glutamate cyclase
100753560	Sorl1	sortilin related receptor 1
100753563	Sun3	Sad1 and UNC84 domain containing 3
100753565	Ciz1	CDKN1A interacting zinc finger protein 1
100753570	Mustn1	musculoskeletal, embryonic nuclear protein 1
100753573	Efnb2	ephrin B2
100753578	Myb	MYB proto-oncogene, transcription factor
100753580	Tnfrsf17	TNF receptor superfamily member 17
100753594	Cfap251	cilia and flagella associated protein 251
100753596	Arhgap20	Rho GTPase activating protein 20
100753597	Nudt17	nudix hydrolase 17
100753604	Slc5a5	solute carrier family 5 member 5
100753606	Pde6h	phosphodiesterase 6H
100753609	Sp6	Sp6 transcription factor
100753616	Slamf7	SLAM family member 7
100753622	Samd12	sterile alpha motif domain containing 12
100753623	Rnf144a	ring finger protein 144A
100753626	Rims3	regulating synaptic membrane exocytosis 3
100753627	Wdr83	WD repeat domain 83
100753628	Fam237a	family with sequence similarity 237 member A
100753629	Rspo1	R-spondin 1
100753630	Grin3b	glutamate ionotropic receptor NMDA type subunit 3B
100753638	Gpr15lg	G protein-coupled receptor 15 ligand
100753644	Mroh9	maestro heat like repeat family member 9
100753645	Dlec1	DLEC1 cilia and flagella associated protein
100753651	Ppargc1a	PPARG coactivator 1 alpha
100753652	Stom	stomatin
100753653	Vwc2	von Willebrand factor C domain containing 2
100753654	Oprk1	opioid receptor kappa 1
100753656	Neto1	neuropilin and tolloid like 1
100753658	Sem1	SEM1 26S proteasome subunit
100753659	Plekhf1	pleckstrin homology and FYVE domain containing 1
100753669	Calhm1	calcium homeostasis modulator 1
100753686	Il17rb	interleukin 17 receptor B
100753688	Etnppl	ethanolamine-phosphate phospho-lyase
100753690	Bpifb1	BPI fold containing family B member 1
100753691	Kti12	KTI12 chromatin associated homolog
100753693	Eps8l3	EPS8 like 3
100753701	Tnr	tenascin R
100753703	Sh2d7	SH2 domain containing 7
100753712	Tmem169	transmembrane protein 169
100753716	Zc3h13	zinc finger CCCH-type containing 13
100753717	Cntn2	contactin 2
100753725	Cntfr	ciliary neurotrophic factor receptor
100753726	Hormad2	HORMA domain containing 2
100753727	Lhfpl1	LHFPL tetraspan subfamily member 1
100753728	Ppp1r37	protein phosphatase 1 regulatory subunit 37
100753734	Capza3	capping actin protein of muscle Z-line subunit alpha 3
100753735	Mtcp1	mature T cell proliferation 1
100753736	Trim40	tripartite motif containing 40
100753739	Dio3	iodothyronine deiodinase 3
100753745	Tubgcp6	tubulin gamma complex associated protein 6
100753749	Itgb1bp2	integrin subunit beta 1 binding protein 2
100753751	Pcdh8	protocadherin 8
100753759	Atosa	atos homolog A
100753765	Slc51a	solute carrier family 51 subunit alpha
100753774	Gapt	GRB2 binding adaptor protein, transmembrane
100753777	Slc22a16	solute carrier family 22 member 16
100753780	Mrps18a	mitochondrial ribosomal protein S18A
100753786	CUNH8orf74	chromosome unknown C8orf74 homolog
100753794	Ano7	anoctamin 7
100753795	Smpx	small muscle protein X-linked
100753796	Skida1	SKI/DACH domain containing 1
100753798	Spatc1l	spermatogenesis and centriole associated 1 like
100753799	Pappa2	pappalysin 2
100753802	Hal	histidine ammonia-lyase
100753805	Tbc1d21	TBC1 domain family member 21
100753808	Ermap	erythroblast membrane associated protein (Scianna blood group)
100753811	Polr3a	RNA polymerase III subunit A
100753813	Cdc26	cell division cycle 26
100753815	Tgfbi	transforming growth factor beta induced
100753817	Gip	gastric inhibitory polypeptide
100753821	Asb16	ankyrin repeat and SOCS box containing 16
100753830	Bhlha9	basic helix-loop-helix family member a9
100753833	Tnfsf8	TNF superfamily member 8
100753835	Pla2g2e	phospholipase A2 group IIE
100753842	Cul9	cullin 9
100753843	Syt1	synaptotagmin 1
100753844	Pkd2l1	polycystin 2 like 1, transient receptor potential cation channel
100753846	Ftl	ferritin light chain
100753849	Cp	ceruloplasmin
100753851	Htr1a	5-hydroxytryptamine receptor 1A
100753852	Ccdc88c	coiled-coil domain containing 88C
100753858	Add2	adducin 2
100753867	Dnm1	dynamin 1
100753872	Itih4	inter-alpha-trypsin inhibitor heavy chain 4
100753873	Primpol	primase and DNA directed polymerase
100753878	Eomes	eomesodermin
100753879	Tekt3	tektin 3
100753884	Spa17	sperm autoantigenic protein 17
100753886	Per1	period circadian regulator 1
100753887	Ptch2	patched 2
100753889	Hdc	histidine decarboxylase
100753891	Ctxn3	cortexin 3
100753892	Nkd2	NKD inhibitor of WNT signaling pathway 2
100753897	Pou2af2	POU class 2 homeobox associating factor 2
100753898	Ankrd35	ankyrin repeat domain 35
100753901	Pacs2	phosphofurin acidic cluster sorting protein 2
100753904	Ushbp1	USH1 protein network component harmonin binding protein 1
100753905	Arhgdib	Rho GDP dissociation inhibitor beta
100753908	Scrn2	secernin 2
100753914	Cd48	CD48 molecule
100753918	Lgi1	leucine rich glioma inactivated 1
100753921	Rsad2	radical S-adenosyl methionine domain containing 2
100753928	CUNH11orf65	chromosome unknown C11orf65 homolog
100753937	Ephx3	epoxide hydrolase 3
100753940	Plxna4	plexin A4
100753942	Prrx1	paired related homeobox 1
100753944	Kdm4d	lysine demethylase 4D
100753947	Stoml3	stomatin like 3
100753955	Chrm3	cholinergic receptor muscarinic 3
100753960	Epo	erythropoietin
100753963	Gpr22	G protein-coupled receptor 22
100753966	Calhm3	calcium homeostasis modulator 3
100753975	Lca5l	lebercilin LCA5 like
100753977	Nlrp14	NLR family pyrin domain containing 14
100753986	Ms4a8	membrane spanning 4-domains A8
100753987	Lhfpl4	LHFPL tetraspan subfamily member 4
100753989	Aatk	apoptosis associated tyrosine kinase
100753992	Egfl7	EGF like domain multiple 7
100753995	Suco	SUN domain containing ossification factor
100753999	Endou	endonuclease, poly(U) specific
100754001	Klhl38	kelch like family member 38
100754002	Veph1	ventricular zone expressed PH domain containing 1
100754006	Marchf4	membrane associated ring-CH-type finger 4
100754013	Ccdc196	coiled-coil domain containing 196
100754016	Bpifb4	BPI fold containing family B member 4
100754018	Ank1	ankyrin 1
100754019	Svop	SV2 related protein
100754020	Tktl2	transketolase like 2
100754021	Dnai1	dynein axonemal intermediate chain 1
100754024	Trappc6a	trafficking protein particle complex subunit 6A
100754025	Clcn5	chloride voltage-gated channel 5
100754027	Sema3d	semaphorin 3D
100754028	Engase	endo-beta-N-acetylglucosaminidase
100754029	Adad1	adenosine deaminase domain containing 1
100754031	Plcz1	phospholipase C zeta 1
100754037	C2H5orf46	chromosome 2 C5orf46 homolog
100754042	Mapk12	mitogen-activated protein kinase 12
100754052	Mcmbp	minichromosome maintenance complex binding protein
100754057	Znf786	zinc finger protein 786
100754060	Cckbr	cholecystokinin B receptor
100754065	Plppr4	phospholipid phosphatase related 4
100754070	Rab3c	RAB3C, member RAS oncogene family
100754074	Sla2	Src like adaptor 2
100754075	Scimp	SLP adaptor and CSK interacting membrane protein
100754076	Ms4a5	membrane spanning 4-domains A5
100754078	Sprn	shadow of prion protein
100754082	Sox7	SRY-box transcription factor 7
100754087	Oc90	otoconin 90
100754097	Ftcd	formimidoyltransferase cyclodeaminase
100754098	Rasal2	RAS protein activator like 2
100754101	Amdhd1	amidohydrolase domain containing 1
100754103	Ash1l	ASH1 like histone lysine methyltransferase
100754105	Insyn1	inhibitory synaptic factor 1
100754107	Epb41l4a	erythrocyte membrane protein band 4.1 like 4A
100754111	Ido2	indoleamine 2,3-dioxygenase 2
100754113	Fsip2	fibrous sheath interacting protein 2
100754117	Ccer1	coiled-coil glutamate rich protein 1
100754118	Igf2bp1	insulin like growth factor 2 mRNA binding protein 1
100754119	Laptm4b	lysosomal protein transmembrane 4 beta
100754120	Tsnaxip1	translin associated factor X interacting protein 1
100754123	Dhx58	DExH-box helicase 58
100754127	Syne4	spectrin repeat containing nuclear envelope family member 4
100754128	Dnah6	dynein axonemal heavy chain 6
100754130	Tmigd1	transmembrane and immunoglobulin domain containing 1
